# NetGPI 1.1	Timestamp: 20230505155710
ID	Seq-length	Pred. GPI-Anchored	Omega-site pos.	Likelihood	Amino-acid
megahit_192571_1729-3519	596	Not GPI-Anchored	-	0.885	*
megahit_192572_1729-3519	596	Not GPI-Anchored	-	0.885	*
megahit_192689_3-767	255	Not GPI-Anchored	-	0.993	*
megahit_196084_3-1415	470	Not GPI-Anchored	-	0.994	*
megahit_196175_299-820	173	Not GPI-Anchored	-	0.996	*
megahit_196253_113-1063	317	Not GPI-Anchored	-	0.992	*
megahit_199610_81-812	244	Not GPI-Anchored	-	0.990	*
megahit_199998_537-1208	223	Not GPI-Anchored	-	0.980	*
megahit_200071_1432-2223	263	Not GPI-Anchored	-	0.487	*
megahit_200073_1432-2223	263	Not GPI-Anchored	-	0.487	*
megahit_200074_1432-2223	263	Not GPI-Anchored	-	0.487	*
megahit_200328_68-700	210	Not GPI-Anchored	-	0.991	*
megahit_200507_85-1080	331	Not GPI-Anchored	-	0.989	*
megahit_200526_3-659	219	Not GPI-Anchored	-	0.989	*
megahit_200747_523-1338	271	Not GPI-Anchored	-	0.994	*
megahit_200749_522-1334	270	Not GPI-Anchored	-	0.994	*
megahit_200750_2-1414	470	Not GPI-Anchored	-	0.991	*
megahit_200750_1462-2274	270	Not GPI-Anchored	-	0.994	*
megahit_200751_523-1338	271	Not GPI-Anchored	-	0.993	*
megahit_200843_26-1021	331	Not GPI-Anchored	-	0.965	*
megahit_200844_113-901	262	Not GPI-Anchored	-	0.847	*
megahit_200934_725-1396	223	Not GPI-Anchored	-	0.992	*
megahit_201045_224-1180	318	Not GPI-Anchored	-	0.990	*
megahit_201096_43-1563	506	Not GPI-Anchored	-	0.993	*
megahit_201285_3-1091	363	Not GPI-Anchored	-	0.993	*
megahit_201289_3-1697	565	Not GPI-Anchored	-	0.992	*
megahit_199806_151-1008	285	Not GPI-Anchored	-	0.991	*
megahit_199594_22-1392	456	Not GPI-Anchored	-	0.995	*
megahit_196746_18-935	305	Not GPI-Anchored	-	0.989	*
megahit_199593_1493-2446	317	Not GPI-Anchored	-	0.992	*
megahit_196916_183-1466	427	Not GPI-Anchored	-	0.439	*
megahit_196916_1511-3433	640	Not GPI-Anchored	-	0.994	*
megahit_197517_2-2674	891	Not GPI-Anchored	-	0.994	*
megahit_197518_2-2674	891	Not GPI-Anchored	-	0.994	*
megahit_198009_1-2364	788	Not GPI-Anchored	-	0.652	*
megahit_198010_1-2118	706	Not GPI-Anchored	-	0.994	*
megahit_198310_68-898	276	Not GPI-Anchored	-	0.620	*
megahit_198311_22-852	276	Not GPI-Anchored	-	0.618	*
megahit_198647_362-664	100	Not GPI-Anchored	-	0.994	*
megahit_198648_2-1876	625	Not GPI-Anchored	-	0.993	*
megahit_198649_2-2071	690	Not GPI-Anchored	-	0.993	*
megahit_199118_501-1250	249	Not GPI-Anchored	-	0.992	*
megahit_199119_501-1250	249	Not GPI-Anchored	-	0.992	*
megahit_199247_3-1637	545	Not GPI-Anchored	-	0.995	*
megahit_199422_67-657	196	Not GPI-Anchored	-	0.312	*
megahit_199512_462-902	146	Not GPI-Anchored	-	0.994	*
megahit_199513_464-904	146	Not GPI-Anchored	-	0.994	*
megahit_199565_1-303	101	Not GPI-Anchored	-	0.994	*
megahit_199593_22-1395	457	Not GPI-Anchored	-	0.995	*
megahit_189700_2-439	146	Not GPI-Anchored	-	0.991	*
megahit_188348_1-1062	353	Not GPI-Anchored	-	0.994	*
megahit_180365_1-1074	358	Not GPI-Anchored	-	0.993	*
megahit_183154_2-457	152	Not GPI-Anchored	-	0.979	*
megahit_182093_3-974	323	Not GPI-Anchored	-	0.992	*
megahit_182148_2-1276	425	Not GPI-Anchored	-	0.987	*
megahit_182198_657-1412	251	Not GPI-Anchored	-	0.995	*
megahit_182402_1-453	151	Not GPI-Anchored	-	0.898	*
megahit_182523_34-426	130	Not GPI-Anchored	-	0.991	*
megahit_182580_454-2247	597	Not GPI-Anchored	-	0.981	*
megahit_182581_454-2247	597	Not GPI-Anchored	-	0.982	*
megahit_182582_447-2042	531	Not GPI-Anchored	-	0.981	*
megahit_182583_415-2049	544	Not GPI-Anchored	-	0.982	*
megahit_183653_225-3170	981	Not GPI-Anchored	-	0.994	*
megahit_188092_2-808	269	Not GPI-Anchored	-	0.989	*
megahit_183654_225-3170	981	Not GPI-Anchored	-	0.994	*
megahit_183655_225-3167	980	Not GPI-Anchored	-	0.994	*
megahit_183716_52-921	289	Not GPI-Anchored	-	0.993	*
megahit_183740_107-1150	348	Not GPI-Anchored	-	0.988	*
megahit_183851_662-1714	350	Not GPI-Anchored	-	0.994	*
megahit_183855_662-1714	350	Not GPI-Anchored	-	0.994	*
megahit_183856_663-1715	350	Not GPI-Anchored	-	0.994	*
megahit_183977_1115-2479	454	Not GPI-Anchored	-	0.994	*
megahit_183977_2639-5251	870	Not GPI-Anchored	-	0.989	*
megahit_182092_3-974	323	Not GPI-Anchored	-	0.992	*
megahit_182003_182-1549	455	Not GPI-Anchored	-	0.990	*
megahit_182002_182-1549	455	Not GPI-Anchored	-	0.990	*
megahit_182001_2-352	117	Not GPI-Anchored	-	0.993	*
megahit_180385_1-3000	1000	Not GPI-Anchored	-	0.994	*
megahit_180386_1-2061	686	Not GPI-Anchored	-	0.991	*
megahit_181049_2-412	137	Not GPI-Anchored	-	0.993	*
megahit_181221_29-679	216	Not GPI-Anchored	-	0.996	*
megahit_181296_1-1530	510	Not GPI-Anchored	-	0.993	*
megahit_181297_3-791	263	Not GPI-Anchored	-	0.996	*
megahit_181377_169-978	269	Not GPI-Anchored	-	0.989	*
megahit_181378_169-978	269	Not GPI-Anchored	-	0.989	*
megahit_181424_527-1387	286	Not GPI-Anchored	-	0.984	*
megahit_181518_1-303	101	Not GPI-Anchored	-	0.994	*
megahit_181519_1-303	101	Not GPI-Anchored	-	0.994	*
megahit_181526_1-933	311	Not GPI-Anchored	-	0.991	*
megahit_181823_6-1346	446	Not GPI-Anchored	-	0.994	*
megahit_181823_1442-4426	994	Not GPI-Anchored	-	0.989	*
megahit_181976_1-804	268	Not GPI-Anchored	-	0.995	*
megahit_181976_2766-3413	215	Not GPI-Anchored	-	0.958	*
megahit_181977_641-1288	215	Not GPI-Anchored	-	0.958	*
megahit_181980_1-804	268	Not GPI-Anchored	-	0.995	*
megahit_181980_2767-3414	215	Not GPI-Anchored	-	0.958	*
megahit_183978_1149-2513	454	Not GPI-Anchored	-	0.994	*
megahit_183978_2673-5285	870	Not GPI-Anchored	-	0.989	*
megahit_184141_2-568	189	Not GPI-Anchored	-	0.994	*
megahit_186313_6385-6735	117	Not GPI-Anchored	-	0.990	*
megahit_186339_24-899	292	Not GPI-Anchored	-	0.980	*
megahit_186441_16-915	299	Not GPI-Anchored	-	0.996	*
megahit_186444_16-915	299	Not GPI-Anchored	-	0.996	*
megahit_186446_3-620	206	Not GPI-Anchored	-	0.995	*
megahit_186446_712-1731	339	Not GPI-Anchored	-	0.996	*
megahit_186447_3-620	206	Not GPI-Anchored	-	0.995	*
megahit_186447_712-1731	339	Not GPI-Anchored	-	0.996	*
megahit_186448_3-647	215	Not GPI-Anchored	-	0.995	*
megahit_187048_1-807	269	Not GPI-Anchored	-	0.995	*
megahit_187134_3-1262	420	Not GPI-Anchored	-	0.993	*
megahit_187253_2-1237	412	Not GPI-Anchored	-	0.993	*
megahit_187360_28-933	301	Not GPI-Anchored	-	0.985	*
megahit_187589_361-1659	432	Not GPI-Anchored	-	0.994	*
megahit_187682_25-888	288	Not GPI-Anchored	-	0.992	*
megahit_187757_23-778	251	Not GPI-Anchored	-	0.990	*
megahit_187834_3-521	173	Not GPI-Anchored	-	0.995	*
megahit_188021_180-3605	1141	Not GPI-Anchored	-	0.975	*
megahit_188022_238-3543	1101	Not GPI-Anchored	-	0.992	*
megahit_188024_889-3618	909	Not GPI-Anchored	-	0.987	*
megahit_186336_24-1427	468	Not GPI-Anchored	-	0.993	*
megahit_186168_58-1092	344	Not GPI-Anchored	-	0.995	*
megahit_184198_199-1278	359	Not GPI-Anchored	-	0.994	*
megahit_185927_58-819	253	Not GPI-Anchored	-	0.996	*
megahit_184634_382-1875	497	Not GPI-Anchored	-	0.994	*
megahit_184848_2-490	163	Not GPI-Anchored	-	0.967	*
megahit_184853_13-645	211	Not GPI-Anchored	-	0.993	*
megahit_184898_171-1832	553	Not GPI-Anchored	-	0.994	*
megahit_184900_171-1832	553	Not GPI-Anchored	-	0.990	*
megahit_184901_171-1832	553	Not GPI-Anchored	-	0.990	*
megahit_184964_3-1664	553	Not GPI-Anchored	-	0.995	*
megahit_184967_3-1667	554	Not GPI-Anchored	-	0.995	*
megahit_185137_1-2211	736	Not GPI-Anchored	-	0.993	*
megahit_185225_1591-2283	230	Not GPI-Anchored	-	0.993	*
megahit_185337_4608-5609	333	Not GPI-Anchored	-	0.992	*
megahit_185338_4608-5609	333	Not GPI-Anchored	-	0.992	*
megahit_185343_4607-5608	333	Not GPI-Anchored	-	0.992	*
megahit_185426_3570-4226	219	Not GPI-Anchored	-	0.995	*
megahit_185514_26-463	145	Not GPI-Anchored	-	0.995	*
megahit_185692_42-2420	793	Not GPI-Anchored	-	0.990	*
megahit_185875_1-921	306	Not GPI-Anchored	-	0.986	*
megahit_185876_1-921	306	Not GPI-Anchored	-	0.986	*
megahit_185926_58-822	254	Not GPI-Anchored	-	0.995	*
megahit_201293_70-1344	424	Not GPI-Anchored	-	0.992	*
megahit_201368_325-1785	486	Not GPI-Anchored	-	0.988	*
megahit_201369_325-1785	486	Not GPI-Anchored	-	0.988	*
megahit_212485_2779-3333	184	Not GPI-Anchored	-	0.994	*
megahit_210448_1-390	129	Not GPI-Anchored	-	0.989	*
megahit_210526_15438-16796	452	Not GPI-Anchored	-	0.988	*
megahit_210818_355-807	151	Not GPI-Anchored	-	0.991	*
megahit_210856_48-1334	428	Not GPI-Anchored	-	0.988	*
megahit_211009_2942-3559	205	Not GPI-Anchored	-	0.993	*
megahit_211011_3-2855	950	Not GPI-Anchored	-	0.991	*
megahit_211392_1304-2716	470	Not GPI-Anchored	-	0.996	*
megahit_211393_1-789	263	Not GPI-Anchored	-	0.995	*
megahit_212485_106-2601	831	Not GPI-Anchored	-	0.995	*
megahit_212609_74-1072	333	Not GPI-Anchored	-	0.994	*
megahit_201369_6085-7434	449	Not GPI-Anchored	-	0.993	*
megahit_212610_74-1279	402	Not GPI-Anchored	-	0.987	*
megahit_212705_3-3536	1178	Not GPI-Anchored	-	0.989	*
megahit_212978_1-1212	404	Not GPI-Anchored	-	0.993	*
megahit_213143_2271-2789	173	Not GPI-Anchored	-	0.985	*
megahit_213334_1-1350	450	Not GPI-Anchored	-	0.994	*
megahit_213335_454-1884	476	Not GPI-Anchored	-	0.996	*
megahit_213493_2-679	226	Not GPI-Anchored	-	0.989	*
megahit_213591_165-1016	283	Not GPI-Anchored	-	0.995	*
megahit_213942_165-2252	695	Not GPI-Anchored	-	0.861	*
megahit_210429_1-1209	403	Not GPI-Anchored	-	0.995	*
megahit_210283_82-2691	869	Not GPI-Anchored	-	0.993	*
megahit_210198_1033-1899	288	Not GPI-Anchored	-	0.996	*
megahit_210123_51-1370	439	Not GPI-Anchored	-	0.996	*
megahit_208865_2-1288	428	Not GPI-Anchored	-	0.875	*
megahit_208950_2-421	139	Not GPI-Anchored	-	0.992	*
megahit_208951_2-424	140	Not GPI-Anchored	-	0.992	*
megahit_208958_4996-5430	144	Not GPI-Anchored	-	0.995	*
megahit_209052_2521-4275	584	Not GPI-Anchored	-	0.587	*
megahit_209120_165-575	137	Not GPI-Anchored	-	0.988	*
megahit_209299_425-748	107	Not GPI-Anchored	-	0.995	*
megahit_209410_22-825	267	Not GPI-Anchored	-	0.992	*
megahit_209410_822-2045	408	Not GPI-Anchored	-	0.980	*
megahit_209412_1-825	274	Not GPI-Anchored	-	0.992	*
megahit_209412_822-2207	461	Not GPI-Anchored	-	0.967	*
megahit_209413_321-1124	267	Not GPI-Anchored	-	0.992	*
megahit_209908_122-664	180	Not GPI-Anchored	-	0.993	*
megahit_209925_180-1223	347	Not GPI-Anchored	-	0.993	*
megahit_210110_419-868	149	Not GPI-Anchored	-	0.994	*
megahit_210111_3022-3471	149	Not GPI-Anchored	-	0.994	*
megahit_210117_9779-11089	436	Not GPI-Anchored	-	0.995	*
megahit_210118_6689-7999	436	Not GPI-Anchored	-	0.995	*
megahit_210122_9779-11089	436	Not GPI-Anchored	-	0.995	*
megahit_214674_1-2247	748	Not GPI-Anchored	-	0.987	*
megahit_214852_612-1718	368	Not GPI-Anchored	-	0.990	*
megahit_214938_611-925	104	Not GPI-Anchored	-	0.982	*
megahit_217981_3-2423	807	Not GPI-Anchored	-	0.931	*
megahit_218335_697-2067	457	Not GPI-Anchored	-	0.985	*
megahit_219033_68-469	133	Not GPI-Anchored	-	0.989	*
megahit_219190_1-912	304	Not GPI-Anchored	-	0.984	*
megahit_219602_665-1159	164	Not GPI-Anchored	-	0.976	*
megahit_219716_673-1248	191	Not GPI-Anchored	-	0.995	*
megahit_219718_673-1248	191	Not GPI-Anchored	-	0.995	*
megahit_219733_1-477	159	Not GPI-Anchored	-	0.993	*
megahit_219734_1-315	105	Not GPI-Anchored	-	0.994	*
megahit_220204_379-1878	499	Not GPI-Anchored	-	0.994	*
megahit_220386_60-680	206	Not GPI-Anchored	-	0.994	*
megahit_220387_60-680	206	Not GPI-Anchored	-	0.994	*
megahit_220388_60-677	205	Not GPI-Anchored	-	0.994	*
megahit_220497_2-484	161	Not GPI-Anchored	-	0.994	*
megahit_220543_3-548	182	Not GPI-Anchored	-	0.995	*
megahit_220796_68-424	118	Not GPI-Anchored	-	0.974	*
megahit_220858_3-1124	374	Not GPI-Anchored	-	0.991	*
megahit_221063_2-4393	1464	Not GPI-Anchored	-	0.989	*
megahit_221065_2-3793	1264	Not GPI-Anchored	-	0.981	*
megahit_221198_540-1298	252	Not GPI-Anchored	-	0.985	*
megahit_218207_3269-4381	370	Not GPI-Anchored	-	0.993	*
megahit_217980_3-2195	731	Not GPI-Anchored	-	0.931	*
megahit_215300_41-913	290	Not GPI-Anchored	-	0.995	*
megahit_217801_277-642	121	Not GPI-Anchored	-	0.996	*
megahit_215301_41-913	290	Not GPI-Anchored	-	0.995	*
megahit_215307_52-591	179	Not GPI-Anchored	-	0.970	*
megahit_215308_52-591	179	Not GPI-Anchored	-	0.970	*
megahit_215408_2-751	250	Not GPI-Anchored	-	0.915	*
megahit_215625_1-819	272	Not GPI-Anchored	-	0.992	*
megahit_215751_644-1444	266	Not GPI-Anchored	-	0.995	*
megahit_216012_2-964	321	Not GPI-Anchored	-	0.989	*
megahit_216071_27-680	217	Not GPI-Anchored	-	0.626	*
megahit_216073_2-955	318	Not GPI-Anchored	-	0.990	*
megahit_216382_55-1506	483	Not GPI-Anchored	-	0.996	*
megahit_217056_100-1125	341	Not GPI-Anchored	-	0.976	*
megahit_217058_100-1125	341	Not GPI-Anchored	-	0.975	*
megahit_217059_100-1125	341	Not GPI-Anchored	-	0.976	*
megahit_217289_823-1218	131	Not GPI-Anchored	-	0.977	*
megahit_217289_1215-1574	119	Not GPI-Anchored	-	0.995	*
megahit_217592_149-502	117	Not GPI-Anchored	-	0.994	*
megahit_217688_2-1111	370	Not GPI-Anchored	-	0.996	*
megahit_217795_277-642	121	Not GPI-Anchored	-	0.996	*
megahit_217799_277-642	121	Not GPI-Anchored	-	0.996	*
megahit_208765_3-365	121	Not GPI-Anchored	-	0.996	*
megahit_208762_90-1118	342	Not GPI-Anchored	-	0.994	*
megahit_208589_20-988	322	Not GPI-Anchored	-	0.973	*
megahit_202561_83-436	117	Not GPI-Anchored	-	0.973	*
megahit_203030_1-549	183	Not GPI-Anchored	-	0.995	*
megahit_203033_376-1287	303	Not GPI-Anchored	-	0.996	*
megahit_203231_1019-1753	245	Not GPI-Anchored	-	0.995	*
megahit_203232_442-1395	317	Not GPI-Anchored	-	0.994	*
megahit_203232_1388-2950	520	Not GPI-Anchored	-	0.993	*
megahit_203233_448-1395	315	Not GPI-Anchored	-	0.994	*
megahit_203233_1388-2950	520	Not GPI-Anchored	-	0.993	*
megahit_203234_3-1124	374	Not GPI-Anchored	-	0.992	*
megahit_203606_931-2382	483	Not GPI-Anchored	-	0.996	*
megahit_203607_930-2381	483	Not GPI-Anchored	-	0.996	*
megahit_203608_932-2383	483	Not GPI-Anchored	-	0.996	*
megahit_204253_98-12049	3983	Not GPI-Anchored	-	0.986	*
megahit_204254_98-12049	3983	Not GPI-Anchored	-	0.986	*
megahit_204256_98-12052	3984	Not GPI-Anchored	-	0.986	*
megahit_204387_682-2070	462	Not GPI-Anchored	-	0.977	*
megahit_204389_77-814	245	Not GPI-Anchored	-	0.994	*
megahit_204390_77-1450	457	Not GPI-Anchored	-	0.992	*
megahit_204390_1468-2856	462	Not GPI-Anchored	-	0.977	*
megahit_204532_2-400	133	Not GPI-Anchored	-	0.994	*
megahit_202889_36-929	297	Not GPI-Anchored	-	0.995	*
megahit_202522_369-1700	443	Not GPI-Anchored	-	0.991	*
megahit_204848_184-1263	360	Not GPI-Anchored	-	0.991	*
megahit_202519_369-1700	443	Not GPI-Anchored	-	0.991	*
megahit_201370_325-1785	486	Not GPI-Anchored	-	0.988	*
megahit_201488_1-1377	459	Not GPI-Anchored	-	0.991	*
megahit_201489_3-1547	515	Not GPI-Anchored	-	0.994	*
megahit_201490_3-1547	515	Not GPI-Anchored	-	0.994	*
megahit_201491_1-1377	459	Not GPI-Anchored	-	0.991	*
megahit_201864_194-1006	270	Not GPI-Anchored	-	0.944	*
megahit_201865_194-1006	270	Not GPI-Anchored	-	0.944	*
megahit_201899_39-2720	893	Not GPI-Anchored	-	0.994	*
megahit_201939_3-494	164	Not GPI-Anchored	-	0.971	*
megahit_202042_3-1232	410	Not GPI-Anchored	-	0.989	*
megahit_202284_589-1278	230	Not GPI-Anchored	-	0.994	*
megahit_202287_1677-2117	147	Not GPI-Anchored	-	0.991	*
megahit_202372_137-1231	364	Not GPI-Anchored	-	0.992	*
megahit_202406_2-1231	410	Not GPI-Anchored	-	0.994	*
megahit_202407_274-1131	285	Not GPI-Anchored	-	0.992	*
megahit_202513_192-1541	449	Not GPI-Anchored	-	0.991	*
megahit_202516_192-1541	449	Not GPI-Anchored	-	0.991	*
megahit_202517_192-743	183	Not GPI-Anchored	-	0.994	*
megahit_202518_192-1538	448	Not GPI-Anchored	-	0.991	*
megahit_204770_2-412	137	Not GPI-Anchored	-	0.984	*
megahit_205135_73-504	144	Not GPI-Anchored	-	0.989	*
megahit_208543_1-1233	411	Not GPI-Anchored	-	0.993	*
megahit_206652_409-1281	290	Not GPI-Anchored	-	0.989	*
megahit_206654_1-405	134	Not GPI-Anchored	-	0.989	*
megahit_206654_409-3771	1121	Not GPI-Anchored	-	0.987	*
megahit_206910_1019-1987	322	Not GPI-Anchored	-	0.982	*
megahit_206911_1031-1999	322	Not GPI-Anchored	-	0.982	*
megahit_207196_659-2065	468	Not GPI-Anchored	-	0.994	*
megahit_207197_660-2066	468	Not GPI-Anchored	-	0.994	*
megahit_207239_3-1628	542	Not GPI-Anchored	-	0.994	*
megahit_207247_29-1210	393	Not GPI-Anchored	-	0.974	*
megahit_207263_11-991	326	Not GPI-Anchored	-	0.994	*
megahit_207453_117-1577	486	Not GPI-Anchored	-	0.992	*
megahit_207453_1581-1991	136	Not GPI-Anchored	-	0.990	*
megahit_207454_117-1577	486	Not GPI-Anchored	-	0.992	*
megahit_207454_1581-3008	475	Not GPI-Anchored	-	0.996	*
megahit_207744_2758-3321	187	Not GPI-Anchored	-	0.992	*
megahit_207747_1531-2094	187	Not GPI-Anchored	-	0.992	*
megahit_208032_923-1456	177	Not GPI-Anchored	-	0.993	*
megahit_208357_316-1074	252	Not GPI-Anchored	-	0.988	*
megahit_208358_316-1074	252	Not GPI-Anchored	-	0.988	*
megahit_208417_2-856	284	Not GPI-Anchored	-	0.979	*
megahit_206653_1-405	134	Not GPI-Anchored	-	0.989	*
megahit_206652_1-405	134	Not GPI-Anchored	-	0.989	*
megahit_205158_115-1569	484	Not GPI-Anchored	-	0.985	*
megahit_206651_409-3864	1151	Not GPI-Anchored	-	0.994	*
megahit_205294_1824-3083	419	Not GPI-Anchored	-	0.988	*
megahit_205654_104-1360	418	Not GPI-Anchored	-	0.986	*
megahit_205655_104-1360	418	Not GPI-Anchored	-	0.986	*
megahit_205826_23-808	261	Not GPI-Anchored	-	0.993	*
megahit_205929_1-1101	367	Not GPI-Anchored	-	0.994	*
megahit_205930_2-766	255	Not GPI-Anchored	-	0.995	*
megahit_205957_113-439	109	Not GPI-Anchored	-	0.967	*
megahit_206051_257-730	157	Not GPI-Anchored	-	0.994	*
megahit_206052_1038-1511	157	Not GPI-Anchored	-	0.994	*
megahit_206062_2149-3156	335	Not GPI-Anchored	-	0.984	*
megahit_206326_2134-3390	419	Not GPI-Anchored	-	0.993	*
megahit_206327_2134-3390	419	Not GPI-Anchored	-	0.993	*
megahit_206328_1425-2681	419	Not GPI-Anchored	-	0.993	*
megahit_206456_1359-2090	243	Not GPI-Anchored	-	0.994	*
megahit_206458_252-1175	307	Not GPI-Anchored	-	0.991	*
megahit_206459_142-1176	344	Not GPI-Anchored	-	0.993	*
megahit_206482_844-2019	391	Not GPI-Anchored	-	0.995	*
megahit_206623_37-1593	518	Not GPI-Anchored	-	0.996	*
megahit_206651_1-405	134	Not GPI-Anchored	-	0.989	*
megahit_180367_1-1092	363	Not GPI-Anchored	-	0.994	*
megahit_180261_127-1752	541	Not GPI-Anchored	-	0.995	*
megahit_221199_1089-1847	252	Not GPI-Anchored	-	0.985	*
megahit_150355_3462-4184	240	Not GPI-Anchored	-	0.993	*
megahit_150110_78-1901	607	Not GPI-Anchored	-	0.996	*
megahit_150140_922-2334	470	Not GPI-Anchored	-	0.992	*
megahit_150141_1904-3316	470	Not GPI-Anchored	-	0.992	*
megahit_150353_694-1734	346	Not GPI-Anchored	-	0.995	*
megahit_150353_1780-2496	238	Not GPI-Anchored	-	0.995	*
megahit_150353_2515-4011	498	Not GPI-Anchored	-	0.996	*
megahit_150353_4032-5438	468	Not GPI-Anchored	-	0.996	*
megahit_150354_858-1484	209	Not GPI-Anchored	-	0.994	*
megahit_150355_2376-3416	346	Not GPI-Anchored	-	0.995	*
megahit_150355_4203-5699	498	Not GPI-Anchored	-	0.996	*
megahit_147977_2378-3877	499	Not GPI-Anchored	-	0.988	*
megahit_150355_5720-7126	468	Not GPI-Anchored	-	0.996	*
megahit_150453_70-1197	375	Not GPI-Anchored	-	0.967	*
megahit_150470_52-1536	495	Not GPI-Anchored	-	0.955	*
megahit_150471_52-1587	512	Not GPI-Anchored	-	0.978	*
megahit_150634_38-2194	718	Not GPI-Anchored	-	0.986	*
megahit_150708_442-1110	222	Not GPI-Anchored	-	0.682	*
megahit_150956_79-933	284	Not GPI-Anchored	-	0.980	*
megahit_151081_1392-2366	324	Not GPI-Anchored	-	0.994	*
megahit_151081_2369-3835	488	Not GPI-Anchored	-	0.984	*
megahit_150062_201-1709	502	Not GPI-Anchored	-	0.994	*
megahit_150061_201-4661	1486	Not GPI-Anchored	-	0.643	*
megahit_149883_84-563	160	Not GPI-Anchored	-	0.993	*
megahit_149529_2-628	209	Not GPI-Anchored	-	0.990	*
megahit_147979_2378-3862	494	Not GPI-Anchored	-	0.988	*
megahit_148221_116-1468	450	Not GPI-Anchored	-	0.994	*
megahit_148222_116-1933	605	Not GPI-Anchored	-	0.996	*
megahit_148223_116-1606	496	Not GPI-Anchored	-	0.982	*
megahit_148224_116-1120	334	Not GPI-Anchored	-	0.987	*
megahit_148225_116-1951	611	Not GPI-Anchored	-	0.995	*
megahit_148226_116-1513	465	Not GPI-Anchored	-	0.994	*
megahit_148274_224-1717	497	Not GPI-Anchored	-	0.992	*
megahit_148275_224-2317	697	Not GPI-Anchored	-	0.992	*
megahit_148276_146-2236	696	Not GPI-Anchored	-	0.990	*
megahit_148298_685-1287	201	Not GPI-Anchored	-	0.985	*
megahit_148513_1879-2853	324	Not GPI-Anchored	-	0.994	*
megahit_148556_221-889	222	Not GPI-Anchored	-	0.992	*
megahit_148888_101-703	200	Not GPI-Anchored	-	0.987	*
megahit_148924_102-623	173	Not GPI-Anchored	-	0.989	*
megahit_148951_1-408	135	Not GPI-Anchored	-	0.993	*
megahit_148955_1-606	201	Not GPI-Anchored	-	0.989	*
megahit_149201_1774-2148	124	Not GPI-Anchored	-	0.990	*
megahit_149414_205-1992	595	Not GPI-Anchored	-	0.984	*
megahit_151082_641-2107	488	Not GPI-Anchored	-	0.984	*
megahit_151410_50-3457	1135	Not GPI-Anchored	-	0.983	*
megahit_151458_4691-5320	210	Not GPI-Anchored	-	0.994	*
megahit_152678_3-2804	933	Not GPI-Anchored	-	0.979	*
megahit_153020_3077-4237	386	Not GPI-Anchored	-	0.981	*
