# NetGPI 1.1	Timestamp: 20230506111425
ID	Seq-length	Pred. GPI-Anchored	Omega-site pos.	Likelihood	Amino-acid
megahit_393602_157-798	213	Not GPI-Anchored	-	0.989	*
megahit_371329_60-4019	1319	Not GPI-Anchored	-	0.991	*
megahit_251291_2677-3162	162	Not GPI-Anchored	-	0.994	*
megahit_244823_7599-10028	809	Not GPI-Anchored	-	0.972	*
megahit_244289_6354-6965	203	Not GPI-Anchored	-	0.989	*
megahit_244289_3469-4353	294	Not GPI-Anchored	-	0.992	*
megahit_244251_2292-3302	336	Not GPI-Anchored	-	0.993	*
megahit_244251_1351-2292	313	Not GPI-Anchored	-	0.993	*
megahit_244250_2292-3302	336	Not GPI-Anchored	-	0.993	*
megahit_244250_1351-2292	313	Not GPI-Anchored	-	0.993	*
megahit_232592_28-3003	991	Not GPI-Anchored	-	0.994	*
megahit_232591_28-2850	940	Not GPI-Anchored	-	0.994	*
megahit_229682_406-1680	424	Not GPI-Anchored	-	0.989	*
megahit_220550_1942-3402	486	Not GPI-Anchored	-	0.989	*
megahit_215865_112-3645	1177	Not GPI-Anchored	-	0.994	*
megahit_213736_3-2561	852	GPI-Anchored	827	0.434	N
megahit_210817_3146-3706	186	Not GPI-Anchored	-	0.988	*
megahit_123497_159-2378	739	Not GPI-Anchored	-	0.993	*
megahit_120054_22009-24438	809	Not GPI-Anchored	-	0.993	*
megahit_120053_22009-24438	809	Not GPI-Anchored	-	0.993	*
megahit_30871_3834-6842	1002	Not GPI-Anchored	-	0.982	*
megahit_67754_2694-3668	325	Not GPI-Anchored	-	0.991	*
megahit_67608_35-2065	676	Not GPI-Anchored	-	0.996	*
megahit_67606_35-2056	673	Not GPI-Anchored	-	0.996	*
megahit_59779_55-2895	946	Not GPI-Anchored	-	0.987	*
megahit_59649_4398-4898	166	Not GPI-Anchored	-	0.995	*
megahit_52347_467-1834	455	Not GPI-Anchored	-	0.994	*
megahit_44278_460-2049	529	Not GPI-Anchored	-	0.996	*
megahit_43520_95-442	115	Not GPI-Anchored	-	0.994	*
megahit_42401_128-460	110	Not GPI-Anchored	-	0.986	*
megahit_40381_2212-2943	243	Not GPI-Anchored	-	0.988	*
megahit_39573_111-1199	362	Not GPI-Anchored	-	0.982	*
megahit_30871_6878-7411	177	Not GPI-Anchored	-	0.990	*
megahit_30871_3354-3698	114	Not GPI-Anchored	-	0.994	*
megahit_119817_4027-5292	421	Not GPI-Anchored	-	0.993	*
megahit_30871_2682-3317	211	Not GPI-Anchored	-	0.859	*
megahit_30869_3834-6692	953	Not GPI-Anchored	-	0.985	*
megahit_30869_3354-3698	114	Not GPI-Anchored	-	0.994	*
megahit_30869_2682-3317	211	Not GPI-Anchored	-	0.859	*
megahit_30868_3834-6692	953	Not GPI-Anchored	-	0.985	*
megahit_30868_3354-3698	114	Not GPI-Anchored	-	0.994	*
megahit_30867_3354-3698	114	Not GPI-Anchored	-	0.994	*
megahit_30865_3834-6692	953	Not GPI-Anchored	-	0.985	*
megahit_30865_3354-3698	114	Not GPI-Anchored	-	0.994	*
megahit_30865_2682-3317	211	Not GPI-Anchored	-	0.859	*
megahit_26577_15543-16277	244	Not GPI-Anchored	-	0.992	*
megahit_15144_175-2355	726	Not GPI-Anchored	-	0.994	*
megahit_76930_78-1298	406	Not GPI-Anchored	-	0.970	*
megahit_1344679_3-782	259	Not GPI-Anchored	-	0.995	*
megahit_78939_18767-19423	218	Not GPI-Anchored	-	0.858	*
megahit_78940_18499-19155	218	Not GPI-Anchored	-	0.858	*
megahit_118856_1306-2715	470	Not GPI-Anchored	-	0.973	*
megahit_117778_823-1788	321	Not GPI-Anchored	-	0.994	*
megahit_115799_759-2324	521	Not GPI-Anchored	-	0.996	*
megahit_115740_616-1392	258	Not GPI-Anchored	-	0.996	*
megahit_111485_17996-18607	203	Not GPI-Anchored	-	0.979	*
megahit_111484_18009-18620	203	Not GPI-Anchored	-	0.979	*
megahit_111203_929-2068	379	Not GPI-Anchored	-	0.994	*
megahit_103226_60-1340	426	Not GPI-Anchored	-	0.994	*
megahit_100027_441-3539	1032	Not GPI-Anchored	-	0.993	*
megahit_98617_466-942	158	Not GPI-Anchored	-	0.992	*
megahit_89933_892-2094	400	Not GPI-Anchored	-	0.989	*
megahit_89933_347-895	182	Not GPI-Anchored	-	0.994	*
megahit_89932_892-2094	400	Not GPI-Anchored	-	0.989	*
megahit_89932_347-895	182	Not GPI-Anchored	-	0.994	*
megahit_85605_973-3522	849	Not GPI-Anchored	-	0.992	*
megahit_85605_178-951	257	Not GPI-Anchored	-	0.994	*
megahit_85195_2882-3862	326	Not GPI-Anchored	-	0.995	*
megahit_84315_3316-4494	392	Not GPI-Anchored	-	0.993	*
megahit_81907_2467-3405	312	Not GPI-Anchored	-	0.995	*
megahit_81531_158-2029	623	Not GPI-Anchored	-	0.995	*
megahit_79992_4480-5490	336	Not GPI-Anchored	-	0.993	*
megahit_79990_4480-5490	336	Not GPI-Anchored	-	0.993	*
megahit_79785_765-3326	853	Not GPI-Anchored	-	0.994	*
megahit_79784_2032-4593	853	Not GPI-Anchored	-	0.994	*
megahit_78941_17769-18425	218	Not GPI-Anchored	-	0.858	*
megahit_118662_8441-8734	97	Not GPI-Anchored	-	0.986	*
megahit_78553_3836-4069	77	Not GPI-Anchored	-	0.994	*
megahit_35120_32-223	63	GPI-Anchored	42	0.230	S
